2,78,3,0,1
1,151,10,0,2
3,74,24,0,1
2,14,14,0,1
2,74,18,1,2
3,153,27,1,3
2,65,28,0,1
1,13,19,1,1
3,72,20,1,2
2,52,24,0,2
1,53,27,1,1
3,77,6,0,1
3,188,10,0,2
3,265,5,1,3
2,172,9,1,3
1,184,21,0,2
1,178,8,0,2
2,3,2,0,1
1,100,22,0,1
3,3,3,1,2
1,141,25,1,3
2,214,18,1,3
3,98,10,1,3
1,2,26,0,1
1,122,5,1,1
1,30,10,1,1
2,55,24,1,2
3,44,21,1,3
3,67,11,1,2
1,188,8,1,1
3,194,9,1,3
3,288,18,0,3
1,37,19,1,1
2,23,1,1,3
1,40,7,1,1
1,18,16,0,2
1,19,2,1,1
1,102,3,1,1
1,280,10,1,1
2,13,2,0,1
3,9,13,1,2
3,90,5,0,2
1,212,3,1,1
3,153,10,1,3
3,1,6,1,2
3,264,24,0,3
2,42,15,0,1
2,23,21,1,3
1,82,14,0,1
1,262,5,0,2
3,100,8,0,1
3,33,7,1,2
1,7,13,1,1
1,78,1,1,1
2,91,6,0,2
3,57,5,0,1
2,257,23,1,3
3,27,4,1,2
1,100,30,0,1
2,91,21,1,3
1,294,8,0,2
1,179,27,1,3
1,15,3,1,1
1,63,16,1,1
3,216,22,0,3
2,214,7,1,3
2,52,3,0,1
1,53,19,1,3
2,296,8,1,3
3,113,27,1,3
2,47,24,1,2
2,5,15,0,1
2,20,2,0,2
3,168,3,0,2
2,24,10,0,1
1,99,7,0,1
2,157,13,0,2
2,64,11,0,1
3,5,21,0,3
2,93,10,1,2
2,41,17,0,2
2,94,8,0,2
2,88,19,1,2
3,126,3,0,2
3,21,13,0,1
1,91,2,1,1
2,47,4,1,2
1,59,5,0,2
2,53,10,1,3
1,260,5,0,2
3,88,19,1,2
1,62,26,1,1
2,10,7,1,2
1,21,25,0,1
3,67,9,0,1
1,155,15,0,2
3,86,9,0,1
3,213,21,0,3
2,197,30,0,2
3,274,8,1,3
3,11,29,1,2
1,25,5,1,1
1,49,10,1,1
2,6,8,1,2
3,235,9,1,3
1,148,16,0,2
2,198,26,1,3
2,93,30,1,2
2,128,4,0,2
2,223,4,0,2
1,236,27,0,2
3,73,11,1,3
2,63,7,0,1
3,142,13,0,3
1,54,9,0,2
3,5,12,0,1
2,70,27,1,2
2,27,8,0,2
1,115,3,1,1
2,73,29,1,2
3,74,11,1,2
2,259,4,0,2
3,10,5,1,3
3,53,7,1,2
3,3,7,1,3
2,27,30,0,1
2,39,3,1,2
1,63,1,0,1
1,28,17,0,1
3,59,3,0,1
3,90,7,1,3
1,59,23,0,1
2,79,11,0,1
1,90,29,1,1
1,45,18,0,1
3,60,4,1,2
1,203,18,1,3
3,97,8,1,2
3,83,29,1,2
2,118,4,0,2
